EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002450943
1, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0002441406
1, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0012199879
1, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0002830029
2, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0002410412
2, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002419949
2, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0006811619
2, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0002350807
3, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002701283
3, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0002470016
3, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0004248619
3, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0004048347
4, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0002419949
4, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0003468990
4, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0004270077
4, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0003550053
5, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0002369881
5, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0002310276
5, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0006890297
5, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002439022
6, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0002300739
6, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002799034
6, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0004711151
6, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0003850460
7, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0002419949
7, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002429485
7, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0006208420
7, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0004041195
8, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0002310276
8, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0002949238
8, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0003840923
8, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0006740093
9, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0003471375
9, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002350807
9, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0003969669
9, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0004789829
10, ,4, 10000, 100,, RS, lab004-074, 3, 3, 1, 4, 0.0002248287
10, ,4, 10000,100,, SR,lab004-074, 1, 1, 3, 4, 0.0002481937
10, ,4, 10000, 100,, RS, lab004-074, 2, 2, 0, 2, 0.0007278919
10, ,4, 10000,100,, SR,lab004-074, 0, 0, 2, 2, 0.0002460480
